s_video_id,e_width,e_height,t_average_bitrate,predicted_vmaf
419.0,1920.0,1080.0,4481.0,95.1152857899723
419.0,416.0,234.0,450.0,38.88832386475537
419.0,1280.0,720.0,2153.0,87.30279530291268
419.0,960.0,540.0,1383.0,56.17655549016579
419.0,768.0,432.0,945.0,71.6518042659348
419.0,640.0,360.0,722.0,63.83069293675786
419.0,416.0,234.0,353.0,35.90760087201009
419.0,1920.0,1080.0,3431.0,95.09393319418109
419.0,1280.0,720.0,1658.0,86.14058301142903
419.0,960.0,540.0,1070.0,74.66849342597337
419.0,640.0,360.0,565.0,60.32182740223945
419.0,768.0,432.0,738.0,69.87637804518276
419.0,416.0,234.0,278.0,34.68954797770358
419.0,1280.0,720.0,1291.0,83.33107768804209
419.0,1920.0,1080.0,2646.0,92.97015694099363
419.0,640.0,360.0,444.0,57.4114775247062
419.0,960.0,540.0,837.0,75.15451919105728
419.0,768.0,432.0,579.0,66.26342559637254
419.0,416.0,234.0,220.0,30.321232597388512
419.0,1920.0,1080.0,2053.0,89.3805342715191
419.0,1280.0,720.0,1014.0,78.67294245102633
419.0,960.0,540.0,659.0,70.62365711420848
419.0,640.0,360.0,351.0,53.25208625129054
419.0,416.0,234.0,174.0,27.09668514042628
419.0,768.0,432.0,456.0,62.228808944557066
419.0,1920.0,1080.0,1602.0,87.00697542470307
419.0,1280.0,720.0,801.0,74.94344734309485
419.0,960.0,540.0,520.0,64.47118164948803
419.0,640.0,360.0,276.0,47.54711699656709
419.0,768.0,432.0,361.0,56.976562047727164
419.0,416.0,234.0,137.0,23.21224805749516
419.0,1920.0,1080.0,901.0,75.93918829886155
419.0,1280.0,720.0,450.0,58.806874962160975
419.0,640.0,360.0,151.0,33.458927144342425
419.0,960.0,540.0,290.0,48.71473343030369
419.0,768.0,432.0,201.0,39.65994526185133
419.0,416.0,234.0,75.0,12.894549773508677
419.0,1920.0,1080.0,514.0,58.77809579476367
419.0,1280.0,720.0,256.0,43.13437081153786
419.0,960.0,540.0,161.0,32.68363677967696
419.0,640.0,360.0,82.0,19.011106668521002
419.0,768.0,432.0,110.0,25.540690131462725
419.0,416.0,234.0,40.0,5.980179099398367
419.0,1280.0,720.0,144.0,26.436282391606888
419.0,1920.0,1080.0,299.0,42.190102420805005
419.0,640.0,360.0,45.0,7.964351237004329
419.0,960.0,540.0,89.0,18.572987251217242
419.0,768.0,432.0,61.0,11.36076755432471
