,s_video_id,e_crf,e_width,e_height,e_codec_profile,e_codec_level,t_average_bitrate,t_average_vmaf
209,422,26,640,360,main,30,259,54.494268
210,422,26,768,432,main,30,336,63.553721
211,422,26,416,234,main,13,135,28.43475
212,422,28,1920,1080,high,40,1197,92.087543
213,422,28,1280,720,main,31,570,80.160112
214,422,28,960,540,main,31,368,69.667424
215,422,28,640,360,main,30,201,51.052856
216,422,28,768,432,main,30,258,60.386581
217,422,28,416,234,main,13,106,25.028704
218,422,30,1920,1080,high,40,911,90.10458
219,422,30,1280,720,main,31,440,77.183761
220,422,30,960,540,main,31,284,66.23466
221,422,30,640,360,main,30,156,46.936502
222,422,30,768,432,main,30,199,56.435996
223,422,30,416,234,main,13,83,21.394527
224,422,35,1920,1080,high,40,506,82.47655
225,422,35,1280,720,main,31,252,67.001832
226,422,35,960,540,main,31,164,54.796408
227,422,35,768,432,main,30,114,44.696474
228,422,35,640,360,main,30,89,35.324335
229,422,35,416,234,main,13,47,11.810765
230,422,40,1920,1080,high,40,315,70.462576
231,422,40,1280,720,main,31,159,52.82636
232,422,40,960,540,main,31,103,40.356618
233,422,40,640,360,main,30,56,20.765178
234,422,40,768,432,main,30,72,30.320817
235,422,40,416,234,main,13,30,2.15501
236,422,45,1920,1080,high,40,206,53.245244
237,422,45,1280,720,main,31,107,35.010911
238,422,45,960,540,main,31,69,21.675173
239,422,45,640,360,main,30,37,5.56336
240,422,45,768,432,main,30,48,12.446556
241,422,45,416,234,main,13,20,0.291051
242,422,50,1920,1080,high,40,131,31.439316
243,422,50,1280,720,main,31,69,14.075008
244,422,50,960,540,main,31,45,3.828976
245,422,50,640,360,main,30,24,0.285781
246,422,50,768,432,main,30,31,0.407683
247,422,50,416,234,main,13,13,0.282869
248,422,55,1920,1080,high,40,120,27.192953
249,422,55,1280,720,main,31,63,10.475195
250,422,55,960,540,main,31,41,1.701423
251,422,55,640,360,main,30,22,0.289128
252,422,55,768,432,main,30,28,0.318593
253,422,55,416,234,main,13,12,0.28363
254,489,18,1920,1080,high,40,11879,99.628763
255,489,18,960,540,main,31,4681,90.921963
256,489,18,640,360,main,30,2466,76.143321
257,489,18,1280,720,main,31,7285,96.049042
258,489,18,768,432,main,30,3264,84.073847
259,489,18,416,234,main,13,1199,49.157312
260,489,20,1920,1080,high,40,9968,99.182825
261,489,20,1280,720,main,31,5716,94.267845
262,489,20,960,540,main,31,3681,88.126907
263,489,20,640,360,main,30,1926,72.170551
264,489,20,416,234,main,13,934,45.299562
266,489,20,768,432,main,30,2548,80.479429
267,489,22,1280,720,main,31,4475,91.653807
268,489,22,960,540,main,31,2875,84.333964
269,489,22,416,234,main,13,722,40.940895
270,489,22,640,360,main,30,1495,67.402641
271,489,22,768,432,main,30,1979,76.020526
272,489,24,1920,1080,high,40,6739,96.951236
273,489,24,1280,720,main,31,3490,88.052874
274,489,24,960,540,main,31,2233,79.594891
275,489,24,640,360,main,30,1154,61.944587
276,489,24,768,432,main,30,1531,70.740438
277,489,24,416,234,main,13,554,36.31482
278,489,26,1920,1080,high,40,5389,94.753209
279,489,26,960,540,main,31,1724,73.959398
280,489,26,1280,720,main,31,2713,83.309844
281,489,26,640,360,main,30,886,55.976593
282,489,26,768,432,main,30,1177,64.763898
283,489,28,1920,1080,high,40,4252,91.448825
284,489,28,1280,720,main,31,2100,77.544497
285,489,26,416,234,main,13,422,31.590067
286,489,28,960,540,main,31,1325,67.570562
287,489,28,640,360,main,30,676,49.672628
288,489,28,768,432,main,30,900,58.24342
289,489,28,416,234,main,13,321,26.974428
290,489,30,1920,1080,high,40,3353,86.893661
291,489,30,960,540,main,31,1013,60.549756
292,489,30,1280,720,main,31,1619,70.916909
293,489,30,640,360,main,30,513,43.21364
294,489,30,768,432,main,30,685,51.35363
295,489,30,416,234,main,13,243,22.535209
296,489,35,1920,1080,high,40,1826,70.519636
297,489,35,1280,720,main,31,835,52.149101
298,489,35,640,360,main,30,256,28.17879
299,489,35,768,432,main,30,342,34.455891
300,489,35,416,234,main,13,120,13.181658
301,489,40,1920,1080,high,40,991,50.375441
302,489,35,960,540,main,31,513,42.230174
303,489,40,1280,720,main,31,436,33.767533
304,489,40,960,540,main,31,264,25.956132
305,489,40,416,234,main,13,61,6.832196
306,489,40,640,360,main,30,130,15.781209
307,489,40,768,432,main,30,175,20.222459
308,489,45,960,540,main,31,145,13.420904
309,489,45,1920,1080,high,40,552,32.09165
310,489,45,1280,720,main,31,242,19.101279
311,489,45,768,432,main,30,95,10.118291
312,489,45,640,360,main,30,70,7.424986
313,489,45,416,234,main,13,33,3.185085
314,489,50,1920,1080,high,40,316,18.300606
315,489,50,1280,720,main,31,139,8.960022
316,489,50,640,360,main,30,40,3.229571
317,489,50,960,540,main,31,82,5.884497
318,489,50,768,432,main,30,54,4.150595
319,489,50,416,234,main,13,19,1.711447
320,489,55,1920,1080,high,40,286,16.226608
321,489,55,1280,720,main,31,125,7.477159
322,489,55,960,540,main,31,74,4.959391
323,489,55,640,360,main,30,36,2.591108
324,489,55,768,432,main,30,49,3.368882
325,489,55,416,234,main,13,17,1.304576
326,493,18,1920,1080,high,40,8746,98.43879
327,493,18,1280,720,main,31,4117,94.995556
328,493,18,640,360,main,30,1420,77.401893
329,493,18,960,540,main,31,2649,89.904662
330,493,18,768,432,main,30,1803,83.974295
331,493,18,416,234,main,13,731,53.177677
332,493,20,1920,1080,high,40,6949,98.242731
333,493,20,1280,720,main,31,3200,93.495239
334,493,20,960,540,main,31,2062,87.639049
335,493,20,640,360,main,30,1124,74.279833
336,493,20,768,432,main,30,1422,81.227245
337,493,20,416,234,main,13,580,49.723554
338,493,22,1920,1080,high,40,5387,97.446118
339,493,22,1280,720,main,31,2503,91.384812
340,493,22,960,540,main,31,1620,84.738756
341,493,22,768,432,main,30,1125,77.824069
342,493,22,416,234,main,13,459,45.804212
343,493,22,640,360,main,30,889,70.536735
344,493,24,1920,1080,high,40,4242,96.010624
345,493,24,1280,720,main,31,1967,88.468841
346,493,24,960,540,main,31,1270,81.070974
347,493,24,640,360,main,30,705,66.007062
348,493,24,768,432,main,30,890,73.775502
349,493,24,416,234,main,13,365,41.481442
350,493,26,1920,1080,high,40,3273,94.031182
351,493,26,1280,720,main,31,1566,84.793807
352,493,26,640,360,main,30,563,60.937431
353,493,26,960,540,main,31,1007,76.595617
354,493,26,768,432,main,30,707,68.660323
355,493,26,416,234,main,13,289,36.598132
356,493,28,1920,1080,high,40,2630,91.076642
357,493,28,1280,720,main,31,1255,80.223441
358,493,28,960,540,main,31,804,71.165527
359,493,28,640,360,main,30,450,54.890034
360,493,28,768,432,main,30,567,62.85829
361,493,28,416,234,main,13,230,31.448128
362,493,30,1920,1080,high,40,2111,87.351318
363,493,30,1280,720,main,31,1008,74.710928
364,493,30,960,540,main,31,645,65.133565
365,493,30,640,360,main,30,358,48.558139
366,493,30,768,432,main,30,450,56.505766
367,493,30,416,234,main,13,183,25.895912
368,493,35,1920,1080,high,40,1250,74.286319
369,493,35,1280,720,main,31,594,57.768659
370,493,35,768,432,main,30,263,38.606839
371,493,35,640,360,main,30,210,31.757191
372,493,35,960,540,main,31,375,47.32131
373,493,35,416,234,main,13,107,12.867968
374,493,40,1920,1080,high,40,764,56.655189
375,493,40,1280,720,main,31,361,39.813224
376,493,40,960,540,main,31,228,29.942019
377,493,40,640,360,main,30,128,15.622076
378,493,40,768,432,main,30,161,21.978403
379,493,40,416,234,main,13,66,2.074631
380,493,45,1920,1080,high,40,505,37.337404
381,493,45,1280,720,main,31,229,22.32474
382,493,45,960,540,main,31,147,14.903794
383,493,45,640,360,main,30,81,4.181716
384,493,45,768,432,main,30,104,9.019097
385,493,45,416,234,main,13,41,0.156318
386,493,50,1920,1080,high,40,312,21.542909
387,493,50,1280,720,main,31,145,7.237057
388,493,50,960,540,main,31,92,3.064409
389,493,50,640,360,main,30,51,0.180379
390,493,50,416,234,main,13,25,0.112573
391,493,50,768,432,main,30,66,0.826369
392,493,55,1920,1080,high,40,281,17.586655
393,493,55,1280,720,main,31,131,4.313088
394,493,55,960,540,main,31,83,1.610724
395,493,55,640,360,main,30,45,0.111021
396,493,55,768,432,main,30,58,0.524752
397,493,55,416,234,main,13,23,0.114308
398,494,18,1920,1080,high,40,14246,99.557751
399,494,18,960,540,main,31,5599,91.800058
400,494,18,768,432,main,30,3907,84.564667
401,494,18,1280,720,main,31,8911,96.391005
402,494,18,640,360,main,30,2968,76.084318
403,494,20,960,540,main,31,4402,89.340303
404,494,20,640,360,main,30,2310,72.000586
405,494,20,1280,720,main,31,6989,95.29076
406,494,18,416,234,main,13,1411,48.553728
407,494,20,416,234,main,13,1097,44.701844
408,494,20,768,432,main,30,3036,80.828981
409,494,22,1280,720,main,31,5476,93.393773
410,494,22,1920,1080,high,40,9870,98.670676
411,494,22,960,540,main,31,3440,79.155502
412,494,22,640,360,main,30,1792,67.03996
413,494,22,768,432,main,30,2354,76.149559
414,494,22,416,234,main,13,847,40.346827
415,494,24,1920,1080,high,40,8101,97.713814
416,494,24,960,540,main,31,2678,80.374714
417,494,24,1280,720,main,31,4284,89.909511
418,494,24,640,360,main,30,1386,61.370161
419,494,24,416,234,main,13,652,35.690492
420,494,24,768,432,main,30,1822,70.595378
421,494,26,1920,1080,high,40,6600,96.191276
422,494,26,1280,720,main,31,3345,84.735604
423,494,26,960,540,main,31,2078,74.361716
424,494,26,640,360,main,30,1069,55.128472
425,494,26,416,234,main,13,500,30.965105
426,494,28,1920,1080,high,40,5203,93.692353
427,494,26,768,432,main,30,1406,64.300111
428,494,28,1280,720,main,31,2604,78.464325
429,494,28,960,540,main,31,1606,67.485002
430,494,28,768,432,main,30,1081,57.346014
431,494,28,416,234,main,13,381,26.383544
432,494,28,640,360,main,30,820,48.515393
433,494,20,1920,1080,high,40,11858,99.232447
434,494,30,1920,1080,high,40,4112,89.092908
435,494,30,960,540,main,31,1237,59.953508
436,494,30,1280,720,main,31,2021,71.260468
437,494,30,640,360,main,30,626,41.779713
438,494,30,768,432,main,30,828,50.037349
439,494,30,416,234,main,13,289,22.161641
440,494,35,1920,1080,high,40,2300,71.226667
441,494,35,1280,720,main,31,1052,50.699126
442,494,35,960,540,main,31,630,40.464471
443,494,35,640,360,main,30,312,26.632028
444,494,35,768,432,main,30,417,32.486072
445,494,35,416,234,main,13,142,13.487919
446,494,40,1920,1080,high,40,1256,49.221693
447,494,40,1280,720,main,31,551,31.430376
448,494,40,960,540,main,31,324,24.12222
449,494,40,416,234,main,13,71,7.872279
450,494,40,768,432,main,30,213,18.838731
451,494,40,640,360,main,30,158,15.384581
452,494,45,1920,1080,high,40,733,30.439089
453,494,45,960,540,main,31,180,13.441011
454,494,45,1280,720,main,31,308,18.294729
455,494,45,640,360,main,30,85,8.682283
456,494,45,768,432,main,30,117,10.785656
457,494,45,416,234,main,13,38,5.558118
458,494,50,1920,1080,high,40,447,18.690455
459,494,50,960,540,main,31,103,7.797435
460,494,50,1280,720,main,31,181,10.719503
461,494,50,768,432,main,30,66,6.828955
462,494,50,640,360,main,30,47,5.99705
463,494,50,416,234,main,13,21,5.030705
464,494,55,1280,720,main,31,165,9.436306
465,494,55,1920,1080,high,40,408,16.780822
466,494,55,640,360,main,30,42,5.849696
467,494,55,960,540,main,31,93,7.269383
468,494,55,768,432,main,30,59,6.328819
469,494,55,416,234,main,13,18,5.016939
470,498,18,1920,1080,high,40,14239,99.552397
471,498,18,1280,720,main,31,8778,96.380383
472,498,18,960,540,main,31,5562,91.691537
473,498,18,640,360,main,30,2926,75.827168
474,498,18,768,432,main,30,3858,84.393725
475,498,20,1920,1080,high,40,11872,99.215876
476,498,18,416,234,main,13,1391,48.238277
477,498,20,1280,720,main,31,6865,95.258585
478,498,20,960,540,main,31,4365,89.206996
479,498,20,640,360,main,30,2271,71.680767
480,498,20,768,432,main,30,2994,80.631724
482,498,22,1280,720,main,31,5360,93.342131
483,498,22,960,540,main,31,3405,76.204477
484,498,20,416,234,main,13,1079,44.305998
485,498,22,768,432,main,30,2316,75.869023
486,498,22,416,234,main,13,831,39.831327
487,498,22,640,360,main,30,1756,66.646032
488,498,24,1920,1080,high,40,8128,97.642724
489,498,24,1280,720,main,31,4180,89.780988
490,498,24,960,540,main,31,2645,80.115009
491,498,24,640,360,main,30,1353,60.867698
492,498,24,768,432,main,30,1787,70.223943
493,498,24,416,234,main,13,638,35.055124
494,498,26,1920,1080,high,40,6485,96.125158
495,498,26,1280,720,main,31,3255,84.487042
496,498,26,960,540,main,31,2049,73.995457
497,498,26,640,360,main,30,1041,54.468973
498,498,26,768,432,main,30,1377,63.790554
499,498,26,416,234,main,13,487,30.198908
500,498,28,1920,1080,high,40,5217,93.518307
501,498,28,1280,720,main,31,2528,78.106533
502,498,28,640,360,main,30,797,47.680892
503,498,28,960,540,main,31,1582,66.975524
504,498,28,768,432,main,30,1056,56.679913
505,498,28,416,234,main,13,371,25.596766
506,498,30,1920,1080,high,40,4055,88.682985
507,498,30,960,540,main,31,1215,59.224583
508,498,30,1280,720,main,31,1957,70.794955
509,498,30,640,360,main,30,608,40.785562
510,498,30,768,432,main,30,807,49.235109
511,498,30,416,234,main,13,281,21.247442
512,498,35,1920,1080,high,40,2268,70.561244
513,498,35,1280,720,main,31,1014,49.883551
514,498,35,960,540,main,31,617,39.376542
515,498,35,640,360,main,30,302,25.290566
516,498,35,768,432,main,30,405,31.33646
517,498,35,416,234,main,13,138,12.589906
518,498,40,1920,1080,high,40,1227,48.27573
519,498,40,1280,720,main,31,530,30.257868
520,498,40,960,540,main,31,316,22.811019
521,498,40,640,360,main,30,152,13.89611
522,498,40,768,432,main,30,206,17.540466
523,498,40,416,234,main,13,69,7.250446
524,498,45,1920,1080,high,40,708,29.318112
525,498,45,1280,720,main,31,296,17.100091
526,498,45,960,540,main,31,174,12.593649
527,498,45,640,360,main,30,82,7.695641
528,498,45,768,432,main,30,112,9.466535
529,498,50,1920,1080,high,40,436,17.761901
530,498,45,416,234,main,13,37,5.37516
531,498,50,1280,720,main,31,176,9.783449
532,498,50,960,540,main,31,101,7.466194
533,498,50,640,360,main,30,46,5.806098
