Video ID;Bitrate (kbps);Resolution;VMAF (Predicted)
525;4300;1920x1080;93.2544
525;5800;1920x1080;97.24982
529;235;416x234;35.478123
529;375;640x360;47.643276
529;560;640x360;53.71951
529;750;768x432;66.30605
529;1050;768x432;76.76008
529;1750;1280x720;82.45278
529;2350;1920x1080;88.59334
529;3000;1920x1080;92.33311
529;4300;1920x1080;93.50517
529;5800;1920x1080;96.83489
538;235;960x540;74.60225
538;375;960x540;80.713806
538;560;1280x720;82.90033
538;750;1920x1080;89.835434
538;1050;1920x1080;91.41068
538;1750;1920x1080;91.07725
538;2350;1920x1080;88.59072
538;3000;1920x1080;94.33132
538;4300;1920x1080;94.27767
538;5800;1920x1080;94.27767
559;235;768x432;34.48964
559;375;640x360;46.555218
559;560;768x432;52.81431
559;750;768x432;65.985985
559;1050;1280x720;78.07198
559;1750;1280x720;82.11184
559;2350;1920x1080;88.130875
559;3000;1920x1080;92.39124
559;4300;1920x1080;93.29342
559;5800;1920x1080;97.6211
561;235;640x360;49.42584
561;375;640x360;55.51646
561;560;768x432;67.42795
561;750;768x432;71.88573
561;1050;1280x720;79.29264
561;1750;1280x720;87.57666
561;2350;960x540;87.56017
561;3000;1920x1080;93.23154
561;4300;1920x1080;93.48273
561;5800;1920x1080;96.96517
564;235;960x540;75.05738
564;375;960x540;78.86696
564;560;1280x720;82.55713
564;750;1280x720;86.8811
564;1050;1920x1080;90.69808
564;1750;1920x1080;91.341286
564;2350;1920x1080;91.96517
564;3000;1920x1080;94.28655
564;4300;1920x1080;94.22832
564;5800;1920x1080;95.98467
565;235;640x360;49.01653
565;375;768x432;63.09361
565;560;768x432;67.41295
565;750;1280x720;76.720535
565;1050;960x540;82.75335
565;1750;1920x1080;87.16822
565;2350;1920x1080;90.091866
565;3000;1920x1080;93.341484
565;4300;1920x1080;93.519714
565;5800;1920x1080;97.40475
568;235;640x360;28.967476
568;375;640x360;46.824646
568;560;768x432;52.57664
568;750;960x540;63.754925
568;1050;960x540;73.84129
568;1750;960x540;80.41309
568;2350;960x540;85.52004
568;3000;1920x1080;92.48252
568;4300;1920x1080;93.26667
568;5800;1920x1080;97.451904
571;235;768x432;20.553488
571;375;768x432;33.775887
