,s_video_id,s_width,s_height,s_storage_size,s_duration,s_scan_type,c_content_category,c_si,c_ti,c_scene_change_ffmpeg_ratio30,c_scene_change_ffmpeg_ratio60,c_scene_change_ffmpeg_ratio90,c_scene_change_py_thresh30,c_scene_change_py_thresh50,c_colorhistogram_mean_dark,c_colorhistogram_mean_medium_dark,c_colorhistogram_mean_medium_bright,c_colorhistogram_mean_bright,c_colorhistogram_std_dev_dark,c_colorhistogram_std_dev_medium_dark,c_colorhistogram_std_dev_medium_bright,c_colorhistogram_std_dev_bright,c_colorhistogram_temporal_mean_std_dev_dark,c_colorhistogram_temporal_mean_std_dev_medium_dark,c_colorhistogram_temporal_mean_std_dev_medium_bright,c_colorhistogram_temporal_mean_std_dev_bright,e_crf,e_width,e_height,e_aspect_ratio,e_pixel_aspect_ratio,e_codec,e_codec_profile,e_codec_level,e_framerate,e_gop_size,e_b_frame_int,e_ref_frame_count,e_scan_type,e_bit_depth,e_pixel_fmt,t_average_bitrate,t_average_vmaf
27,418,1920,1080,12790095,9,0,1,56.10180909,12.59732727,53.33333333,26.66666667,13.33333333,0,0,0.381593364,0.365762281,0.186065619,0.066578736,0.188830391,0.087219526,0.049422253,0.04011756,,,,,26,768,432,16:09,1:01,h264,1,30,25.0,50.0,3,1,1,8.0,1,779,64.559465
3559,639,1920,1080,699636965,530,0,-1,34.01855623,5.464431614,0.0,0.0,0.0,0,0,0.343024209,0.064613608,0.02812625,0.008680377,0.464185067,0.007510975,0.026431253,0.006941976,0.303914404,0.057434737,0.029030878,0.011478337,55,640,360,16:09,1:01,h264,1,30,25.0,50.0,3,1,2,8.0,1,14,1.725258
1732,564,1920,1080,7102270,5,0,23,32.78192857,6.293928571,0.0,0.0,0.0,0,0,0.132334909,0.17446494,0.412738555,0.280461597,0.071962874,0.075896369,0.189326753,0.210972601,0.187146867,0.20257584,0.029756501,0.359966206,30,416,234,16:09,1:01,h264,1,13,25.0,50.0,3,1,2,8.0,1,79,24.351603
1665,561,1920,1080,160546244,117,0,14,41.52797882,18.59060198,0.0,0.0,0.0,0,0,0.173611111,0.130055861,0.131411876,0.064921152,0.11756548,0.047369763,0.049457888,0.082319458,0.173611111,0.130055861,0.131411876,0.064921152,35,768,432,16:09,1:01,h264,1,30,25.0,50.0,3,1,1,8.0,1,247,37.954329
878,507,1080,1080,26252976,20,0,-1,56.01415726,20.03459677,0.0,0.0,0.0,0,0,0.046932727,0.227571159,0.148065272,0.577430841,0.063096291,0.082944016,0.14661781,0.299984902,,,,,40,768,432,16:09,1:01,h264,1,30,25.0,50.0,3,1,1,8.0,1,134,20.116969
2991,619,1920,1080,70899857,44,0,21,59.34883971,16.51877505,0.0,0.0,0.0,0,0,0.547798354,0.276897666,0.137841596,0.037462384,0.391498131,0.077077801,0.030754675,0.025930147,,,,,18,640,360,16:09,1:01,h264,1,30,25.0,50.0,3,1,2,8.0,1,1451,74.098965
620,500,1920,1080,18279293,14,0,18,40.83923496,19.74548711,0.0,0.0,0.0,0,0,0.232041538,0.460294657,0.245024916,0.062638889,0.221316571,0.104496398,0.085761809,0.076917371,0.0,0.0,0.0,0.0,20,1920,1080,16:09,1:01,h264,0,40,25.0,50.0,3,1,1,8.0,1,6525,98.312927
312,489,1920,1080,82496887,59,0,24,50.71130299,23.46897486,0.0,0.0,0.0,0,0,0.26379485,0.338907697,0.220381462,0.176915992,0.071674892,0.049223042,0.062622204,0.112147026,,,,,45,640,360,16:09,1:01,h264,1,30,25.0,50.0,3,1,2,8.0,1,70,7.424986
1862,568,1920,1080,85806758,61,0,18,46.67792866,34.67334162,0.0,0.0,0.0,0,0,0.273930845,0.170702643,0.151397248,0.403969264,0.151907178,0.011603884,0.073686501,0.547842601,,,,,26,640,360,16:09,1:01,h264,1,30,25.0,50.0,3,1,2,8.0,1,846,62.786578
2328,592,1920,1080,61480163,42,0,11,95.25482348,30.42639457,0.0,0.0,0.0,0,0,0.486965181,0.267987397,0.1153596,0.129687822,0.186338875,0.109326458,0.023078978,0.036799069,,,,,50,1280,720,16:09,1:01,h264,1,31,29.97002997,59.94005994,3,1,0,8.0,1,199,8.896532
2245,590,1920,1080,131523770,92,0,21,30.45621048,16.72294323,0.0,0.0,0.0,0,0,0.337243602,0.103700167,0.057886285,0.001169946,0.245421577,0.009007166,0.044849089,0.001300449,0.337243602,0.103700167,0.057886285,0.001169946,40,960,540,16:09,1:01,h264,1,31,25.0,50.0,3,1,1,8.0,1,170,37.833175
2805,614,1920,1080,55902080,41,0,-1,34.37749758,13.69482962,0.0,0.0,0.0,0,0,0.91227318,0.040005466,0.024302341,0.023419014,6.056819246,0.012968929,0.000839831,0.021837974,,,,,28,416,234,16:09,1:01,h264,1,13,25.0,50.0,3,1,2,8.0,1,147,35.907101
