s_video_id,s_width,s_height,s_storage_size,s_duration,s_scan_type,c_content_category,c_si,c_ti,c_scene_change_ffmpeg_ratio30,c_scene_change_ffmpeg_ratio60,c_scene_change_ffmpeg_ratio90,c_scene_change_py_thresh30,c_scene_change_py_thresh50,c_colorhistogram_mean_dark,c_colorhistogram_mean_medium_dark,c_colorhistogram_mean_medium_bright,c_colorhistogram_mean_bright,c_colorhistogram_std_dev_dark,c_colorhistogram_std_dev_medium_dark,c_colorhistogram_std_dev_medium_bright,c_colorhistogram_std_dev_bright,c_colorhistogram_temporal_mean_std_dev_dark,c_colorhistogram_temporal_mean_std_dev_medium_dark,c_colorhistogram_temporal_mean_std_dev_medium_bright,c_colorhistogram_temporal_mean_std_dev_bright,e_crf,e_width,e_height,e_aspect_ratio,e_pixel_aspect_ratio,e_codec,e_codec_profile,e_codec_level,e_framerate,e_gop_size,e_b_frame_int,e_ref_frame_count,e_scan_type,e_bit_depth,e_pixel_fmt,t_average_bitrate,t_average_vmaf,t_average_vmaf_mobile,t_average_vmaf_4k,t_average_psnr
418,1920,1080,12790095,9,progressive,ballplayer,56.10180909,12.59732727,53.33333333,26.66666667,13.33333333,0,0,0.381593364,0.365762281,0.186065619,0.066578736,0.188830391,0.087219526,0.049422253,0.04011756,,,,,26,1920,1080,16:09,1:01,h264,high,40,25,50,3,1,progressive,8,yuv420p,3800,91.726313,,,
418,1920,1080,12790095,9,progressive,ballplayer,56.10180909,12.59732727,53.33333333,26.66666667,13.33333333,0,0,0.381593364,0.365762281,0.186065619,0.066578736,0.188830391,0.087219526,0.049422253,0.04011756,,,,,24,768,432,16:09,1:01,h264,main,30,25,50,3,1,progressive,8,yuv420p,1015,69.117289,,,
418,1920,1080,12790095,9,progressive,ballplayer,56.10180909,12.59732727,53.33333333,26.66666667,13.33333333,0,0,0.381593364,0.365762281,0.186065619,0.066578736,0.188830391,0.087219526,0.049422253,0.04011756,,,,,24,640,360,16:09,1:01,h264,main,30,25,50,3,1,unknown,8,yuv420p,778,59.694809,,,
418,1920,1080,12790095,9,progressive,ballplayer,56.10180909,12.59732727,53.33333333,26.66666667,13.33333333,0,0,0.381593364,0.365762281,0.186065619,0.066578736,0.188830391,0.087219526,0.049422253,0.04011756,,,,,24,416,234,16:09,1:01,h264,main,13,25,50,3,1,unknown,8,yuv420p,393,31.452331,,,
418,1920,1080,12790095,9,progressive,ballplayer,56.10180909,12.59732727,53.33333333,26.66666667,13.33333333,0,0,0.381593364,0.365762281,0.186065619,0.066578736,0.188830391,0.087219526,0.049422253,0.04011756,,,,,26,1280,720,16:09,1:01,h264,main,31,25,50,3,1,interlaced,8,yuv420p,1787,82.190513,,,
418,1920,1080,12790095,9,progressive,ballplayer,56.10180909,12.59732727,53.33333333,26.66666667,13.33333333,0,0,0.381593364,0.365762281,0.186065619,0.066578736,0.188830391,0.087219526,0.049422253,0.04011756,,,,,26,640,360,16:09,1:01,h264,main,30,25,50,3,1,unknown,8,yuv420p,599,54.894845,,,
418,1920,1080,12790095,9,progressive,ballplayer,56.10180909,12.59732727,53.33333333,26.66666667,13.33333333,0,0,0.381593364,0.365762281,0.186065619,0.066578736,0.188830391,0.087219526,0.049422253,0.04011756,,,,,26,768,432,16:09,1:01,h264,main,30,25,50,3,1,progressive,8,yuv420p,779,64.559465,,,
418,1920,1080,12790095,9,progressive,ballplayer,56.10180909,12.59732727,53.33333333,26.66666667,13.33333333,0,0,0.381593364,0.365762281,0.186065619,0.066578736,0.188830391,0.087219526,0.049422253,0.04011756,,,,,26,416,234,16:09,1:01,h264,main,13,25,50,3,1,unknown,8,yuv420p,301,27.391052,,,
418,1920,1080,12790095,9,progressive,ballplayer,56.10180909,12.59732727,53.33333333,26.66666667,13.33333333,0,0,0.381593364,0.365762281,0.186065619,0.066578736,0.188830391,0.087219526,0.049422253,0.04011756,,,,,26,960,540,16:09,1:01,h264,main,31,25,50,3,1,progressive,8,yuv420p,1138,73.80082,,,
418,1920,1080,12790095,9,progressive,ballplayer,56.10180909,12.59732727,53.33333333,26.66666667,13.33333333,0,0,0.381593364,0.365762281,0.186065619,0.066578736,0.188830391,0.087219526,0.049422253,0.04011756,,,,,28,1920,1080,16:09,1:01,h264,high,40,25,50,3,1,progressive,8,yuv420p,2890,88.619295,,,
